sample	plant	stage	genotype	part	ID1	MADS67	ZCN8	ZmRap27	ZMM4
1614-10A_V3L4_215	1614-10A	V3L4	B104	A	NA	NA	0.07	1.91	1.43
1614-10B_V3L4_216	1614-10B	V3L4	B104	B	33.22	0.03	0.10	6.07	0.01
1614-11A_V3L4_219	1614-11A	V3L4	B104	A	40.09	0.04	0.00	2.06	1.66
1614-11B_V3L4_220	1614-11B	V3L4	B104	B	35.50	0.03	0.04	4.98	0.02
1614-11C_V3L4_221	1614-11C	V3L4	B104	C	2.04	0.10	0.24	3.48	0.03
1614-11D_V3L4_222	1614-11D	V3L4	B104	D	0.45	0.05	0.23	2.24	0.00
1614-12A_2dV5L6_159	1614-12A	V5L6	B104	A	1.29	2.27	0.00	0.35	3.59
1614-12B_2dV5L6_160	1614-12B	V5L6	B104	B	0.69	0.33	0.01	0.86	0.65
1614-12C_2dV5L6_161	1614-12C	V5L6	B104	C	0.17	0.62	6.68	1.27	0.53
1614-12D_2dV5L6_162	1614-12D	V5L6	B104	D	0.23	0.38	33.28	1.06	0.12
1614-14A_3dV6L7_175	1614-14A	V6L7	B104	A	0.15	7.96	0.01	0.25	5.57
1614-14B_3dV6L7_176	1614-14B	V6L7	B104	B	0.01	3.76	0.03	0.43	0.85
1614-14C_3dV6L7_177	1614-14C	V6L7	B104	C	0.15	3.02	13.92	0.35	3.86
1614-14D_3dV6L7_178	1614-14D	V6L7	B104	D	0.31	0.91	38.55	0.26	0.52
1614-17A_1dV7L8_191	1614-17A	V7L8	B104	A	0.33	13.38	0.00	0.24	19.58
1614-17B_1dV7L8_192	1614-17B	V7L8	B104	B	0.08	8.57	0.01	0.24	5.40
1614-17C_1dV7L8_193	1614-17C	V7L8	B104	C	0.18	9.69	18.98	0.67	8.15
1614-17D_1dV7L8_194	1614-17D	V7L8	B104	D	0.29	3.98	97.33	0.45	0.59
1614-18A_1dV7L8_195	1614-18A	V7L8	B104	A	0.67	14.70	0.02	0.20	16.69
1614-18B_1dV7L8_196	1614-18B	V7L8	B104	B	0.18	6.60	0.27	0.17	4.97
1614-18C_1dV7L8_197	1614-18C	V7L8	B104	C	0.18	9.03	22.05	0.34	6.04
1614-18D_1dV7L8_198	1614-18D	V7L8	B104	D	0.41	3.73	108.99	0.53	0.68
1614-1A_V4L5_143	1614-1A	V4L5	B104	A	11.22	0.16	0.01	1.21	5.79
1614-1B_V4L5_144	1614-1B	V4L5	B104	B	5.45	0.11	0.02	2.05	0.33
1614-1C_V3L4_217	1614-1C	V3L4	B104	C	1.56	0.09	0.10	3.57	NA
1614-1C_V4L5_145	1614-1C	V4L5	B104	C	0.01	0.35	2.14	1.67	0.10
1614-1D_V3L4_218	1614-1D	V3L4	B104	D	0.54	0.09	0.21	2.48	0.17
1614-1D_V4L5_146	1614-1D	V4L5	B104	D	0.15	0.15	14.33	1.04	0.14
1614-24A_V3L4_127	1614-24A	V3L4	B104	A	20.67	0.03	0.01	1.94	1.12
1614-24B_V3L4_128	1614-24B	V3L4	B104	B	6.71	0.03	0.05	4.93	0.01
1614-24C_V3L4_129	1614-24C	V3L4	B104	C	0.32	0.07	0.21	3.83	0.06
1614-24D_V3L4_130	1614-24D	V3L4	B104	D	0.18	0.06	0.69	2.84	0.03
