ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0002679	respiratory burst involved in defense response	20/247	237/39756	5.763505086701932e-17	3.325542435027015e-14	2.942421017947829e-14	Zm00001eb054960/Zm00001eb058370/Zm00001eb068530/Zm00001eb074930/Zm00001eb150840/Zm00001eb206730/Zm00001eb214230/Zm00001eb221780/Zm00001eb234120/Zm00001eb246640/Zm00001eb275080/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb086280/Zm00001eb178160/Zm00001eb313960/Zm00001eb326660/Zm00001eb367110/Zm00001eb370730	20	0.08438818565400844	13.582739711986882
BP	GO:0009695	jasmonic acid biosynthetic process	18/247	228/39756	6.965682046889603e-15	2.0095992705276503e-12	1.7780819961797146e-12	Zm00001eb022980/Zm00001eb035010/Zm00001eb058370/Zm00001eb081380/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb258950/Zm00001eb275080/Zm00001eb327450/Zm00001eb349390/Zm00001eb390330/Zm00001eb419490/Zm00001eb426670/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600/Zm00001eb271760	18	0.07894736842105263	12.707010441082462
BP	GO:0009873	ethylene-activated signaling pathway	19/247	341/39756	6.544808732274245e-13	1.258784879507413e-10	1.1137656965449155e-10	Zm00001eb058370/Zm00001eb068530/Zm00001eb074730/Zm00001eb074930/Zm00001eb150840/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb275080/Zm00001eb288320/Zm00001eb352580/Zm00001eb367840/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb140600/Zm00001eb232560/Zm00001eb313960/Zm00001eb347860	19	0.05571847507331378	8.968193097225354
BP	GO:0009867	jasmonic acid mediated signaling pathway	21/247	499/39756	8.216675260585141e-12	1.1852554063394066e-9	1.0487072372062615e-9	Zm00001eb022980/Zm00001eb121780/Zm00001eb161780/Zm00001eb194060/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb294180/Zm00001eb327450/Zm00001eb367840/Zm00001eb390330/Zm00001eb397190/Zm00001eb426670/Zm00001eb062680/Zm00001eb127680/Zm00001eb271760/Zm00001eb313960/Zm00001eb326660/Zm00001eb347860	21	0.04208416833667335	6.773676908472816
BP	GO:0009620	response to fungus	13/247	189/39756	2.3536325500818684e-10	2.7160919627944763e-8	2.4031827090309608e-8	Zm00001eb022980/Zm00001eb035010/Zm00001eb058370/Zm00001eb074930/Zm00001eb081380/Zm00001eb119400/Zm00001eb349390/Zm00001eb390330/Zm00001eb419490/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600/Zm00001eb271760	13	0.06878306878306878	11.071010860484543
BP	GO:0009719	response to endogenous stimulus	14/247	320/39756	1.665921802857489e-8	1.6020614670812853e-6	1.4174948673436528e-6	Zm00001eb047280/Zm00001eb190130/Zm00001eb228180/Zm00001eb290550/Zm00001eb388620/Zm00001eb058130/Zm00001eb103100/Zm00001eb103110/Zm00001eb178160/Zm00001eb197890/Zm00001eb293830/Zm00001eb318890/Zm00001eb367110/Zm00001eb370730	14	0.04375	7.0418016194331985
BP	GO:0043069	negative regulation of programmed cell death	14/247	354/39756	5.8461993100467946e-8	4.818938574138572e-6	4.263769421613077e-6	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb390330/Zm00001eb397190/Zm00001eb058130/Zm00001eb062680/Zm00001eb197890/Zm00001eb217590/Zm00001eb313960/Zm00001eb326660	14	0.03954802259887006	6.365470390448089
BP	GO:0042538	hyperosmotic salinity response	13/247	306/39756	7.675472281812072e-8	5.535934383256957e-6	4.898163232472178e-6	Zm00001eb058370/Zm00001eb068530/Zm00001eb074930/Zm00001eb161780/Zm00001eb214230/Zm00001eb221780/Zm00001eb327450/Zm00001eb367840/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb271760/Zm00001eb313960	13	0.042483660130718956	6.837977296181631
BP	GO:0052542	defense response by callose deposition	8/247	97/39756	1.7788271611710753e-7	1.1404258577730116e-5	1.0090423077987972e-5	Zm00001eb221780/Zm00001eb426670/Zm00001eb058130/Zm00001eb140600/Zm00001eb197890/Zm00001eb271760/Zm00001eb313960/Zm00001eb326660	8	0.08247422680412371	13.274677574189239
BP	GO:0009753	response to jasmonic acid	13/247	365/39756	5.738453468577016e-7	3.311087651368939e-5	2.9296315076419506e-5	Zm00001eb006000/Zm00001eb035010/Zm00001eb048770/Zm00001eb048780/Zm00001eb058370/Zm00001eb081380/Zm00001eb214230/Zm00001eb275490/Zm00001eb349390/Zm00001eb419490/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600	13	0.03561643835616438	5.7326604181687095
