line	transgene	DPS	silking	node	experiment
WT	WT	72	75	24	35934
WT	WT	73	80	23	35934
WT	WT	72	76	23	35934
WT	WT	72	76	24	35934
WT	WT	75	79	21	35934
WT	WT	70	75	24	35934
WT	WT	69	74	24	35934
WT	WT	71	76	23	35934
WT	WT	69	74	24	35934
WT	WT	69	77	24	35934
WT	WT	72	77	22	35934
WT	WT	72	79	24	35934
WT	WT	71	77	23	35934
WT	WT	71	79	24	35934
WT	WT	75	80	23	35934
WT	WT	75	80	22	35934
WT	WT	67	77	21	38029
WT	WT	68	74	21	38029
WT	WT	67	75	21	38029
WT	WT	71	74	21	38029
WT	WT	72	83	21	38029
WT	WT	71	75	21	38029
WT	WT	70	74	21	38029
WT	WT	65	69	21	38029
WT	WT	69	73	22	41307
WT	WT	73	76	21	41307
WT	WT	74	79	21	41307
WT	WT	68	74	21	41307
WT	WT	67	74	22	41307
WT	WT	67	72	21	41307
WT	WT	68	72	21	41307
WT	WT	66	74	NA	41307
WT	WT	70	75	21	41307
WT	WT	70	79	22	41307
WT	WT	69	74	23	41307
WT	WT	72	76	24	41307
WT	WT	73	76	22	41307
WT	WT	71	76	23	41307
325-2	uva1_IR	70	74	22	35934
325-2	uva1_IR	68	73	21	35934
325-2	uva1_IR	68	72	22	35934
325-2	uva1_IR	68	73	22	35934
325-2	uva1_IR	68	72	22	35934
325-2	uva1_IR	68	73	22	35934
325-2	uva1_IR	68	72	21	35934
325-2	uva1_IR	69	74	21	35934
325-2	uva1_IR	70	75	21	35934
325-2	uva1_IR	71	75	21	35934
325-2	uva1_IR	71	76	22	38029
325-2	uva1_IR	68	74	22	38029
325-2	uva1_IR	68	72	21	38029
325-2	uva1_IR	69	73	21	38029
325-2	uva1_IR	66	71	22	38029
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	71	75	22	41307
325-2	uva1_IR	72	79	24	41307
325-2	uva1_IR	73	76	23	41307
325-2	uva1_IR	73	80	NA	41307
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	72	79	NA	41307
325-2	uva1_IR	69	76	23	41307
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	NA	78	23	41307
325-2	uva1_IR	68	76	23	41307
325-2	uva1_IR	71	76	23	41307
325-2	uva1_IR	72	76	22	41307
325-2	uva1_IR	67	72	21	41307
325-2	uva1_IR	70	74	22	41307
326-20	uva1_IR	67	71	20	35934
326-20	uva1_IR	68	72	22	35934
326-20	uva1_IR	67	71	20	35934
326-20	uva1_IR	67	73	22	35934
326-20	uva1_IR	69	74	22	35934
326-20	uva1_IR	68	74	22	35934
326-20	uva1_IR	67	73	21	35934
326-20	uva1_IR	68	73	21	35934
326-20	uva1_IR	69	75	22	35934
326-20	uva1_IR	68	73	22	38029
326-20	uva1_IR	68	73	22	38029
326-20	uva1_IR	68	74	22	38029
326-20	uva1_IR	67	72	22	38029
326-20	uva1_IR	69	74	22	38029
326-20	uva1_IR	NA	79	22	41307
326-20	uva1_IR	74	76	23	41307
326-20	uva1_IR	NA	76	23	41307
326-20	uva1_IR	71	76	24	41307
326-20	uva1_IR	72	76	24	41307
326-20	uva1_IR	75	NA	22	41307
326-20	uva1_IR	76	80	22	41307
326-40	uva1_IR	67	71	21	35934
326-40	uva1_IR	68	71	22	35934
326-40	uva1_IR	68	73	22	35934
326-40	uva1_IR	67	72	23	35934
326-40	uva1_IR	68	72	22	35934
326-40	uva1_IR	68	73	23	35934
326-40	uva1_IR	69	74	23	35934
326-40	uva1_IR	69	73	23	35934
326-40	uva1_IR	71	76	23	35934
326-40	uva1_IR	72	76	22	35934
326-40	uva1_IR	66	71	22	38029
326-40	uva1_IR	66	71	22	38029
326-40	uva1_IR	69	71	22	38029
326-40	uva1_IR	64	67	22	38029
326-40	uva1_IR	67	69	22	38029
327-16	Vgt1_IR	71	75	21	35934
327-16	Vgt1_IR	67	72	21	35934
327-16	Vgt1_IR	67	72	20	35934
327-16	Vgt1_IR	67	72	22	35934
327-16	Vgt1_IR	67	72	22	35934
327-16	Vgt1_IR	67	73	22	35934
327-16	Vgt1_IR	66	72	20	35934
327-16	Vgt1_IR	68	71	21	35934
327-16	Vgt1_IR	68	73	21	35934
327-16	Vgt1_IR	69	74	22	35934
327-16	Vgt1_IR	64	69	20	38029
327-16	Vgt1_IR	62	67	21	38029
327-16	Vgt1_IR	62	65	21	38029
327-16	Vgt1_IR	63	67	20	38029
327-16	Vgt1_IR	67	68	20	38029
327-38	Vgt1_IR	65	71	20	35934
327-38	Vgt1_IR	66	69	21	35934
327-38	Vgt1_IR	65	71	21	35934
327-38	Vgt1_IR	66	71	21	35934
327-38	Vgt1_IR	67	72	21	35934
327-38	Vgt1_IR	66	71	21	35934
327-38	Vgt1_IR	65	70	20	35934
327-38	Vgt1_IR	66	71	20	35934
327-38	Vgt1_IR	67	72	20	35934
327-38	Vgt1_IR	69	75	20	35934
327-38	Vgt1_IR	63	67	20	38029
327-38	Vgt1_IR	62	67	20	38029
327-38	Vgt1_IR	62	65	21	38029
327-38	Vgt1_IR	61	67	20	38029
327-38	Vgt1_IR	67	72	21	41307
327-38	Vgt1_IR	72	78	21	41307
327-38	Vgt1_IR	67	72	22	41307
327-38	Vgt1_IR	68	74	21	41307
327-38	Vgt1_IR	69	75	21	41307
327-38	Vgt1_IR	77	79	21	41307
327-38	Vgt1_IR	68	73	22	41307
331-6	Vgt1_IR	68	72	20	35934
331-6	Vgt1_IR	66	72	21	35934
331-6	Vgt1_IR	67	72	21	35934
331-6	Vgt1_IR	67	71	21	35934
331-6	Vgt1_IR	66	70	21	35934
331-6	Vgt1_IR	67	71	22	35934
331-6	Vgt1_IR	66	71	21	35934
331-6	Vgt1_IR	70	74	21	35934
331-6	Vgt1_IR	64	68	20	38029
331-6	Vgt1_IR	65	68	20	38029
331-6	Vgt1_IR	66	69	21	38029
