line	stage	Vgt1_state	days_to_stage
N28	V3	Active	10
N28	V3	Active	10
N28	V3	Active	9
N28	V3	Active	9
N28	V3	Active	9
N28	V3	Active	9
N28	V3	Active	9
N28	V3	Active	8
N28	V3	Active	8
N28	V3	Active	8
N28	V3	Active	9
N28	V3	Active	8
N28	V4	Active	18
N28	V4	Active	17
N28	V4	Active	16
N28	V4	Active	16
N28	V4	Active	16
N28	V4	Active	16
N28	V4	Active	15
N28	V4	Active	14
N28	V4	Active	14
N28	V4	Active	15
N28	V4	Active	15
N28	V4	Active	15
C22-4	V3	Silenced	7
C22-4	V3	Silenced	7
C22-4	V3	Silenced	6
C22-4	V3	Silenced	6
C22-4	V3	Silenced	8
C22-4	V3	Silenced	5
C22-4	V3	Silenced	7
C22-4	V3	Silenced	7
C22-4	V3	Silenced	5
C22-4	V3	Silenced	5
C22-4	V3	Silenced	8
C22-4	V3	Silenced	4
C22-4	V4	Silenced	18
C22-4	V4	Silenced	19
C22-4	V4	Silenced	18
C22-4	V4	Silenced	18
C22-4	V4	Silenced	18
C22-4	V4	Silenced	17
C22-4	V4	Silenced	20
C22-4	V4	Silenced	18
C22-4	V4	Silenced	17
C22-4	V4	Silenced	17
C22-4	V4	Silenced	21
C22-4	V4	Silenced	17
WT	V3	Active	8
WT	V3	Active	7
WT	V3	Active	6
WT	V3	Active	7
WT	V3	Active	9
WT	V3	Active	8
WT	V3	Active	9
WT	V3	Active	7
WT	V3	Active	8
WT	V3	Active	7
WT	V3	Active	9
WT	V3	Active	7
WT	V4	Active	15
WT	V4	Active	15
WT	V4	Active	13
WT	V4	Active	14
WT	V4	Active	14
WT	V4	Active	14
WT	V4	Active	15
WT	V4	Active	13
WT	V4	Active	15
WT	V4	Active	13
WT	V4	Active	15
WT	V4	Active	13
327-16	V3	Silenced	3
327-16	V3	Silenced	5
327-16	V3	Silenced	5
327-16	V3	Silenced	5
327-16	V3	Silenced	4
327-16	V3	Silenced	4
327-16	V3	Silenced	4
327-16	V3	Silenced	4
327-16	V3	Silenced	5
327-16	V3	Silenced	5
327-16	V3	Silenced	3
327-16	V3	Silenced	3
327-16	V3	Silenced	3
327-16	V3	Silenced	4
327-16	V3	Silenced	4
327-16	V3	Silenced	3
327-16	V3	Silenced	4
327-16	V3	Silenced	3
327-16	V4	Silenced	12
327-16	V4	Silenced	14
327-16	V4	Silenced	14
327-16	V4	Silenced	12
327-16	V4	Silenced	13
327-16	V4	Silenced	14
327-16	V4	Silenced	12
327-16	V4	Silenced	12
327-16	V4	Silenced	13
327-16	V4	Silenced	12
327-16	V4	Silenced	12
327-16	V4	Silenced	12
327-16	V4	Silenced	11
327-16	V4	Silenced	13
327-16	V4	Silenced	12
327-16	V4	Silenced	12
327-16	V4	Silenced	14
327-16	V4	Silenced	12
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	5
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	7
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	4
327-38	V3	Silenced	5
327-38	V3	Silenced	5
327-38	V3	Silenced	5
327-38	V3	Silenced	5
327-38	V3	Silenced	5
327-38	V4	Silenced	11
327-38	V4	Silenced	13
327-38	V4	Silenced	11
327-38	V4	Silenced	12
327-38	V4	Silenced	12
327-38	V4	Silenced	13
327-38	V4	Silenced	13
327-38	V4	Silenced	11
327-38	V4	Silenced	13
327-38	V4	Silenced	14
327-38	V4	Silenced	11
327-38	V4	Silenced	11
327-38	V4	Silenced	11
327-38	V4	Silenced	12
327-38	V4	Silenced	12
327-38	V4	Silenced	11
327-38	V4	Silenced	13
327-38	V4	Silenced	12
327-38	V4	Silenced	11
331-06	V3	Silenced	6
331-06	V3	Silenced	6
331-06	V3	Silenced	7
331-06	V3	Silenced	5
331-06	V3	Silenced	6
331-06	V3	Silenced	6
331-06	V3	Silenced	6
331-06	V3	Silenced	6
331-06	V3	Silenced	6
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	4
331-06	V3	Silenced	5
331-06	V3	Silenced	4
331-06	V3	Silenced	4
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	5
331-06	V3	Silenced	6
331-06	V4	Silenced	12
331-06	V4	Silenced	13
331-06	V4	Silenced	14
331-06	V4	Silenced	13
331-06	V4	Silenced	12
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	12
331-06	V4	Silenced	12
331-06	V4	Silenced	12
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	14
331-06	V4	Silenced	14
331-06	V4	Silenced	13
331-06	V4	Silenced	13
331-06	V4	Silenced	14
331-06	V4	Silenced	13
331-06	V4	Silenced	14
331-06	V4	Silenced	14
331-06	V4	Silenced	13
