genotype	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	DPS	silking	node
N28	10	18	24	30	35	40	47	50	55	58	63	67	69	72	75	77	78	80		80	82	20
N28	10	17	24	29	34	40	46	50	53	57	61	65	69	72	75	76	78	81	81	81	82	21
N28	9	16	23	28	33	38	43	48	52	56	60	64	65	69	72	74	76	77	78	78	80	21
N28	9	16	23	29	35	39	45	50	53	59	63	65	70	72	74	76	78	79	80	80	82	21
N28	9	16	22	28	33	38	44	48	52	58	60	64	68	72	73	76	78	80	80	80	83	21
N28	9	16	23	29	35	39	44	49	53	57	61	66	69	72	74	76	78	79	80	81	83	21
N28	9	15	22	27	32	38	45	49	54	58	63	65	68	72	75	77	79	81	85	84	87	21
N28	8	14	21	27	32	37	44	49	52	56	61	64	67	69	72	75	77	79	80	78	80	21
N28	8	14	21	27	32	37	42	47	51	55	61	64	68	71	73	76	78	79	81	81	82	21
N28	8	15	21	26	31	37	43	47	53	57	61	66	69	72	75	76	78	81	83	82	85	21
N28	9	15	22	28	33	38	45	52	55	58	61	67	71	74	76	78	82	83	84	85	86	21
N28	8	15	21	27	32	37	43	48	52	56	60	64	68	71	73	76	79	80	82	81	85	21
C22-4	7	12	18	23	28	33	37	42	45	49	52	56	58	61	63	64	64			64	67	19
C22-4	7	13	19	25	31	36	41	48	51	55	58	61	63	65	67	69	70			69	74	19
C22-4	6	12	18	23	28	33	38	41	45	49	52	54	57	59	61	63	63	64		64	66	20
C22-4	6	12	18	24	29	34	39	43	47	50	53	55	58	59	61	62	64			65	67	19
C22-4	8	13	18	24	29	34	39	44	48	51	54	57	59	60	62	64	66			66	68	19
C22-4	5	11	17	23	29	32	37	41	46	49	51	55	58	60	61	63	64	67		64	66	20
C22-4	7	14	20	26	31	35	41	46	50	53	57	59	61	63	64	65	66			67	70	19
C22-4	7	12	18	24	29	33	38	43	48	51	54	57	59	61	64	64	65			66	69	19
C22-4	5	12	17	23	29	33	37	42	46	49	54	57	59	61	63	64	66			66	66	19
C22-4	5	11	17	23	28	33	38	44	47	51	54	57	59	60	62	64	65			65	67	19
C22-4	8	15	21	26	31	36	40	44	48	52	54	58	60	62	63	64	64			67	70	19
C22-4	4	11	17	21	27	31	36	41	42	48	51	52	55	57	59	62	63	64		64	66	20
B104	7	15	21	27	33	39	44	50	54	59	63	64	67	70	72	74	76	77		71	81	20
B104	6	13	19	24	29	38	42	47	50	54	57	60	64	65	68	69	72	72	74	70	77	21
B104	9	14	20	25	29	37	43	48	52	57	60	65	67	69	72	72	75	76	77	70	84	21
B104	8	14	19	26	31	38	45	57					68	74	77	78	80	82	83	81		21
