ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0009867	jasmonic acid mediated signaling pathway	88/2056	499/39756	4.253357353184074e-24	5.8738865047472065e-21	4.9159856566274876e-21	Zm00001eb012010/Zm00001eb020600/Zm00001eb022980/Zm00001eb030890/Zm00001eb041390/Zm00001eb047200/Zm00001eb054480/Zm00001eb059920/Zm00001eb060890/Zm00001eb064680/Zm00001eb107190/Zm00001eb121780/Zm00001eb161780/Zm00001eb176160/Zm00001eb187630/Zm00001eb193360/Zm00001eb194060/Zm00001eb196960/Zm00001eb206730/Zm00001eb209760/Zm00001eb216610/Zm00001eb221780/Zm00001eb224170/Zm00001eb234120/Zm00001eb238370/Zm00001eb248270/Zm00001eb253650/Zm00001eb259370/Zm00001eb264880/Zm00001eb275080/Zm00001eb277540/Zm00001eb280600/Zm00001eb284250/Zm00001eb293510/Zm00001eb294180/Zm00001eb297430/Zm00001eb310520/Zm00001eb323060/Zm00001eb324700/Zm00001eb327450/Zm00001eb328410/Zm00001eb344400/Zm00001eb354200/Zm00001eb356420/Zm00001eb356520/Zm00001eb358560/Zm00001eb359850/Zm00001eb362520/Zm00001eb367310/Zm00001eb367840/Zm00001eb385620/Zm00001eb390330/Zm00001eb397190/Zm00001eb406600/Zm00001eb406670/Zm00001eb426670/Zm00001eb432370/Zm00001eb014980/Zm00001eb024330/Zm00001eb062680/Zm00001eb084510/Zm00001eb087380/Zm00001eb105790/Zm00001eb109190/Zm00001eb112210/Zm00001eb118900/Zm00001eb127680/Zm00001eb130410/Zm00001eb141310/Zm00001eb147720/Zm00001eb202040/Zm00001eb208690/Zm00001eb214000/Zm00001eb271760/Zm00001eb287800/Zm00001eb295860/Zm00001eb306020/Zm00001eb313960/Zm00001eb314340/Zm00001eb314610/Zm00001eb322430/Zm00001eb324690/Zm00001eb326660/Zm00001eb337450/Zm00001eb347860/Zm00001eb379950/Zm00001eb398420/Zm00001eb398820	88	0.17635270541082165	3.4100574690236503
BP	GO:0031348	negative regulation of defense response	67/2056	415/39756	1.2448782451636804e-16	8.595884282855213e-14	7.19408585889327e-14	Zm00001eb012010/Zm00001eb013610/Zm00001eb020600/Zm00001eb030390/Zm00001eb030890/Zm00001eb035970/Zm00001eb059920/Zm00001eb060890/Zm00001eb064680/Zm00001eb107190/Zm00001eb119690/Zm00001eb121780/Zm00001eb134970/Zm00001eb161780/Zm00001eb173250/Zm00001eb187630/Zm00001eb206730/Zm00001eb209350/Zm00001eb209760/Zm00001eb234120/Zm00001eb238370/Zm00001eb248270/Zm00001eb253650/Zm00001eb259370/Zm00001eb275080/Zm00001eb277540/Zm00001eb280600/Zm00001eb297430/Zm00001eb310520/Zm00001eb324700/Zm00001eb327450/Zm00001eb328410/Zm00001eb354200/Zm00001eb356420/Zm00001eb356520/Zm00001eb358560/Zm00001eb367310/Zm00001eb367840/Zm00001eb397190/Zm00001eb426060/Zm00001eb008080/Zm00001eb011610/Zm00001eb014980/Zm00001eb062680/Zm00001eb084510/Zm00001eb105790/Zm00001eb109190/Zm00001eb118900/Zm00001eb130410/Zm00001eb147720/Zm00001eb149550/Zm00001eb173420/Zm00001eb202040/Zm00001eb208690/Zm00001eb214000/Zm00001eb288130/Zm00001eb306020/Zm00001eb313960/Zm00001eb314340/Zm00001eb314610/Zm00001eb322430/Zm00001eb324690/Zm00001eb325650/Zm00001eb326660/Zm00001eb347860/Zm00001eb379950/Zm00001eb430620	67	0.1614457831325301	3.1218086353194883
BP	GO:0030968	endoplasmic reticulum unfolded protein response	60/2056	354/39756	4.901984315009538e-16	2.256546779676057e-13	1.888553957151043e-13	Zm00001eb007650/Zm00001eb012010/Zm00001eb020600/Zm00001eb021750/Zm00001eb028430/Zm00001eb031210/Zm00001eb037080/Zm00001eb047200/Zm00001eb064680/Zm00001eb107190/Zm00001eb115230/Zm00001eb125460/Zm00001eb139480/Zm00001eb187630/Zm00001eb194060/Zm00001eb206730/Zm00001eb215460/Zm00001eb217500/Zm00001eb224170/Zm00001eb229930/Zm00001eb234120/Zm00001eb235510/Zm00001eb275080/Zm00001eb291630/Zm00001eb303740/Zm00001eb309420/Zm00001eb310520/Zm00001eb311620/Zm00001eb314620/Zm00001eb324700/Zm00001eb327450/Zm00001eb328410/Zm00001eb330680/Zm00001eb356420/Zm00001eb356520/Zm00001eb358560/Zm00001eb367840/Zm00001eb370720/Zm00001eb407530/Zm00001eb410890/Zm00001eb426060/Zm00001eb012180/Zm00001eb058130/Zm00001eb062680/Zm00001eb084510/Zm00001eb087380/Zm00001eb109190/Zm00001eb140600/Zm00001eb169130/Zm00001eb208690/Zm00001eb272280/Zm00001eb288130/Zm00001eb296340/Zm00001eb306020/Zm00001eb313960/Zm00001eb324690/Zm00001eb326660/Zm00001eb336820/Zm00001eb346060/Zm00001eb398820	60	0.1694915254237288	3.2773857416078616
BP	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	58/2056	366/39756	3.153704651447634e-14	1.0888165309122955e-11	9.112546598130268e-12	Zm00001eb012010/Zm00001eb013520/Zm00001eb013610/Zm00001eb020600/Zm00001eb030890/Zm00001eb035970/Zm00001eb059920/Zm00001eb060890/Zm00001eb064680/Zm00001eb107190/Zm00001eb161780/Zm00001eb173250/Zm00001eb187630/Zm00001eb193360/Zm00001eb195460/Zm00001eb206730/Zm00001eb209760/Zm00001eb234120/Zm00001eb238370/Zm00001eb248270/Zm00001eb253650/Zm00001eb259370/Zm00001eb275080/Zm00001eb277540/Zm00001eb280600/Zm00001eb297430/Zm00001eb310520/Zm00001eb324700/Zm00001eb327450/Zm00001eb328410/Zm00001eb356420/Zm00001eb356520/Zm00001eb358560/Zm00001eb367840/Zm00001eb397190/Zm00001eb014980/Zm00001eb021970/Zm00001eb033130/Zm00001eb062680/Zm00001eb084510/Zm00001eb105790/Zm00001eb109190/Zm00001eb118900/Zm00001eb130410/Zm00001eb149550/Zm00001eb202040/Zm00001eb208690/Zm00001eb214000/Zm00001eb296740/Zm00001eb306020/Zm00001eb313960/Zm00001eb314340/Zm00001eb314610/Zm00001eb322430/Zm00001eb324690/Zm00001eb326660/Zm00001eb353230/Zm00001eb379950	58	0.15846994535519127	3.0642661223448364
BP	GO:0006984	ER-nucleus signaling pathway	53/2056	321/39756	7.391565941938994e-14	2.0415505131635502e-11	1.708618821947161e-11	Zm00001eb007650/Zm00001eb012010/Zm00001eb020600/Zm00001eb021750/Zm00001eb028430/Zm00001eb031210/Zm00001eb037080/Zm00001eb047200/Zm00001eb064680/Zm00001eb107190/Zm00001eb125460/Zm00001eb139480/Zm00001eb194060/Zm00001eb206730/Zm00001eb217500/Zm00001eb224170/Zm00001eb235510/Zm00001eb275080/Zm00001eb291630/Zm00001eb303740/Zm00001eb309420/Zm00001eb310520/Zm00001eb311620/Zm00001eb314620/Zm00001eb324700/Zm00001eb327450/Zm00001eb330680/Zm00001eb356420/Zm00001eb356520/Zm00001eb358560/Zm00001eb367840/Zm00001eb370720/Zm00001eb407530/Zm00001eb410890/Zm00001eb426060/Zm00001eb011610/Zm00001eb012180/Zm00001eb058130/Zm00001eb062680/Zm00001eb084510/Zm00001eb087380/Zm00001eb109190/Zm00001eb140600/Zm00001eb169130/Zm00001eb272280/Zm00001eb288130/Zm00001eb306020/Zm00001eb313960/Zm00001eb324690/Zm00001eb326660/Zm00001eb336820/Zm00001eb346060/Zm00001eb398820	53	0.16510903426791276	3.1926433688497764
BP	GO:0009723	response to ethylene	59/2056	426/39756	6.677655697824759e-12	1.444128297887363e-9	1.2086229437709704e-9	Zm00001eb054480/Zm00001eb075760/Zm00001eb095690/Zm00001eb107190/Zm00001eb110020/Zm00001eb161780/Zm00001eb176160/Zm00001eb187630/Zm00001eb196960/Zm00001eb214230/Zm00001eb216610/Zm00001eb224170/Zm00001eb228670/Zm00001eb234690/Zm00001eb260730/Zm00001eb264880/Zm00001eb268840/Zm00001eb275490/Zm00001eb276590/Zm00001eb277420/Zm00001eb293660/Zm00001eb294260/Zm00001eb310520/Zm00001eb314770/Zm00001eb327450/Zm00001eb328410/Zm00001eb328760/Zm00001eb339810/Zm00001eb339970/Zm00001eb344400/Zm00001eb358560/Zm00001eb361330/Zm00001eb373970/Zm00001eb386390/Zm00001eb403620/Zm00001eb406600/Zm00001eb406670/Zm00001eb427210/Zm00001eb428490/Zm00001eb001940/Zm00001eb012310/Zm00001eb015210/Zm00001eb058360/Zm00001eb066060/Zm00001eb109190/Zm00001eb112210/Zm00001eb130020/Zm00001eb141310/Zm00001eb167720/Zm00001eb187260/Zm00001eb276580/Zm00001eb287800/Zm00001eb307550/Zm00001eb324690/Zm00001eb361500/Zm00001eb362800/Zm00001eb391130/Zm00001eb398820/Zm00001eb425590	59	0.13849765258215962	2.678070367731682
BP	GO:0042538	hyperosmotic salinity response	48/2056	306/39756	7.319984131217626e-12	1.444128297887363e-9	1.2086229437709704e-9	Zm00001eb054480/Zm00001eb058370/Zm00001eb068530/Zm00001eb074930/Zm00001eb107190/Zm00001eb161780/Zm00001eb176160/Zm00001eb187630/Zm00001eb196960/Zm00001eb214230/Zm00001eb216610/Zm00001eb221780/Zm00001eb260730/Zm00001eb264880/Zm00001eb312910/Zm00001eb327450/Zm00001eb328410/Zm00001eb339810/Zm00001eb344400/Zm00001eb356420/Zm00001eb367840/Zm00001eb375580/Zm00001eb384820/Zm00001eb397610/Zm00001eb406600/Zm00001eb406670/Zm00001eb417550/Zm00001eb426670/Zm00001eb429870/Zm00001eb432090/Zm00001eb012310/Zm00001eb012540/Zm00001eb041200/Zm00001eb099440/Zm00001eb109190/Zm00001eb112210/Zm00001eb120750/Zm00001eb130020/Zm00001eb141310/Zm00001eb172410/Zm00001eb215310/Zm00001eb271760/Zm00001eb287800/Zm00001eb296340/Zm00001eb313960/Zm00001eb319390/Zm00001eb324690/Zm00001eb345750	48	0.1568627450980392	3.033188372625315
BP	GO:0009695	jasmonic acid biosynthetic process	39/2056	228/39756	4.684559867125412e-11	8.086721470625242e-9	6.767956229083818e-9	Zm00001eb022980/Zm00001eb031560/Zm00001eb035010/Zm00001eb054040/Zm00001eb058370/Zm00001eb059460/Zm00001eb075270/Zm00001eb081380/Zm00001eb089010/Zm00001eb154820/Zm00001eb176160/Zm00001eb186190/Zm00001eb196960/Zm00001eb206730/Zm00001eb209760/Zm00001eb215460/Zm00001eb221780/Zm00001eb234120/Zm00001eb258950/Zm00001eb264880/Zm00001eb275080/Zm00001eb327450/Zm00001eb344070/Zm00001eb349390/Zm00001eb390330/Zm00001eb406600/Zm00001eb406670/Zm00001eb406880/Zm00001eb419490/Zm00001eb426670/Zm00001eb005460/Zm00001eb024330/Zm00001eb081610/Zm00001eb109190/Zm00001eb110330/Zm00001eb140600/Zm00001eb214000/Zm00001eb271760/Zm00001eb306020	39	0.17105263157894737	3.3075721892279333
BP	GO:0009620	response to fungus	34/2056	189/39756	1.9942402698825458e-10	3.060050903008662e-8	2.561024346586006e-8	Zm00001eb013910/Zm00001eb022980/Zm00001eb035010/Zm00001eb058370/Zm00001eb074930/Zm00001eb075270/Zm00001eb081380/Zm00001eb089010/Zm00001eb099980/Zm00001eb119400/Zm00001eb154820/Zm00001eb186190/Zm00001eb196960/Zm00001eb215460/Zm00001eb313850/Zm00001eb331450/Zm00001eb339810/Zm00001eb349390/Zm00001eb357070/Zm00001eb390330/Zm00001eb406600/Zm00001eb406670/Zm00001eb418140/Zm00001eb419490/Zm00001eb429870/Zm00001eb005460/Zm00001eb024330/Zm00001eb081610/Zm00001eb110330/Zm00001eb111590/Zm00001eb130020/Zm00001eb140600/Zm00001eb271760/Zm00001eb350460	34	0.17989417989417988	3.4785374590822062
BP	GO:0009753	response to jasmonic acid	50/2056	365/39756	3.8745249078585634e-10	5.350718897752676e-8	4.478135104030214e-8	Zm00001eb006000/Zm00001eb013480/Zm00001eb035010/Zm00001eb048770/Zm00001eb048780/Zm00001eb054040/Zm00001eb054050/Zm00001eb058370/Zm00001eb065440/Zm00001eb075270/Zm00001eb081380/Zm00001eb089010/Zm00001eb095690/Zm00001eb103730/Zm00001eb119690/Zm00001eb122410/Zm00001eb144930/Zm00001eb144960/Zm00001eb154820/Zm00001eb177060/Zm00001eb183630/Zm00001eb186190/Zm00001eb214230/Zm00001eb215120/Zm00001eb215460/Zm00001eb223620/Zm00001eb228670/Zm00001eb234690/Zm00001eb260730/Zm00001eb266860/Zm00001eb275490/Zm00001eb292320/Zm00001eb303740/Zm00001eb332030/Zm00001eb339810/Zm00001eb349390/Zm00001eb349760/Zm00001eb419490/Zm00001eb428490/Zm00001eb004290/Zm00001eb005460/Zm00001eb012310/Zm00001eb081610/Zm00001eb110330/Zm00001eb130020/Zm00001eb140600/Zm00001eb187260/Zm00001eb296340/Zm00001eb391130/Zm00001eb425100	50	0.136986301369863	2.6488460103406
